Year,Series,Units,Type of product,Value
2005,TM_TRF_ZERO,% (PERCENT),AGR,78.11705
2010,TM_TRF_ZERO,% (PERCENT),AGR,86.55545
2015,TM_TRF_ZERO,% (PERCENT),AGR,77.26098
2016,TM_TRF_ZERO,% (PERCENT),AGR,72.09544
2017,TM_TRF_ZERO,% (PERCENT),AGR,80.38654
2018,TM_TRF_ZERO,% (PERCENT),AGR,80.10167
2005,TM_TRF_ZERO,% (PERCENT),ALP,80.36611
2010,TM_TRF_ZERO,% (PERCENT),ALP,77.00822
2015,TM_TRF_ZERO,% (PERCENT),ALP,72.14442
2016,TM_TRF_ZERO,% (PERCENT),ALP,62.6327
2017,TM_TRF_ZERO,% (PERCENT),ALP,71.74151
2018,TM_TRF_ZERO,% (PERCENT),ALP,71.94006
2005,TM_TRF_ZERO,% (PERCENT),ARM,84.375
2010,TM_TRF_ZERO,% (PERCENT),ARM,100
2015,TM_TRF_ZERO,% (PERCENT),ARM,66.66667
2016,TM_TRF_ZERO,% (PERCENT),ARM,68.42105
2017,TM_TRF_ZERO,% (PERCENT),ARM,72.22222
2018,TM_TRF_ZERO,% (PERCENT),ARM,72.22222
2005,TM_TRF_ZERO,% (PERCENT),CLO,49.75369
2010,TM_TRF_ZERO,% (PERCENT),CLO,39.92188
2015,TM_TRF_ZERO,% (PERCENT),CLO,42.10526
2016,TM_TRF_ZERO,% (PERCENT),CLO,33.31467
2017,TM_TRF_ZERO,% (PERCENT),CLO,44.23565
2018,TM_TRF_ZERO,% (PERCENT),CLO,45.09502
2005,TM_TRF_ZERO,% (PERCENT),IND,85.44423
2010,TM_TRF_ZERO,% (PERCENT),IND,82.15344
2015,TM_TRF_ZERO,% (PERCENT),IND,78.20907
2016,TM_TRF_ZERO,% (PERCENT),IND,69.63315
2017,TM_TRF_ZERO,% (PERCENT),IND,75.68703
2018,TM_TRF_ZERO,% (PERCENT),IND,75.75446
2005,TM_TRF_ZERO,% (PERCENT),OIL,0
2015,TM_TRF_ZERO,% (PERCENT),OIL,100
2005,TM_TRF_ZERO,% (PERCENT),TEX,86.64921
2010,TM_TRF_ZERO,% (PERCENT),TEX,83.00971
2015,TM_TRF_ZERO,% (PERCENT),TEX,81.26195
2016,TM_TRF_ZERO,% (PERCENT),TEX,69.17808
2017,TM_TRF_ZERO,% (PERCENT),TEX,84.49477
2018,TM_TRF_ZERO,% (PERCENT),TEX,85.31469
