Year,Units,Старост,Пол,Value
2001,%,15+,,0.1
2001,%,15+,Мушки,0.1
2001,%,15+,Женски,0.1
2001,%,15-24,,0.1
2001,%,15-24,Мушки,0.1
2001,%,15-24,Женски,0.1
2001,%,25+,,0.1
2001,%,25+,Мушки,0.1
2001,%,25+,Женски,0.1
2004,%,15+,,0.1
2004,%,15+,Мушки,0.1
2004,%,15+,Женски,0.1
2004,%,15-24,,0.1
2004,%,15-24,Мушки,0.1
2004,%,15-24,Женски,0.1
2004,%,25+,,0.1
2004,%,25+,Мушки,0.0
2004,%,25+,Женски,0.1
2007,%,15+,,0.0
2007,%,15+,Мушки,0.0
2007,%,15+,Женски,0.0
2007,%,15-24,,0.0
2007,%,15-24,Мушки,0.0
2007,%,15-24,Женски,0.0
2007,%,25+,,0.0
2007,%,25+,Мушки,0.0
2007,%,25+,Женски,0.0
2011,%,15+,,0.0
2011,%,15+,Мушки,0.0
2011,%,15+,Женски,0.0
2011,%,15-24,,0.0
2011,%,15-24,Мушки,0.0
2011,%,15-24,Женски,0.0
2011,%,25+,,0.0
2011,%,25+,Мушки,0.0
2011,%,25+,Женски,50.0
